name,description,chunks
1+1,"пострадав в результате несчастного случая, богатый аристократ филипп нанимает в помощники человека, который менее всего подходит для этой работы, – молодого жителя предместья дрисса, только что освободившегося из тюрьмы. несмотря на то, что филипп прикован к инвалидному креслу, дриссу удается привнести в размеренную жизнь аристократа дух приключений.","1+1: пострадав в результате несчастного случая, богатый аристократ филипп нанимает в помощники человека, который менее всего подходит для этой работы, – молодого жителя предместья дрисса, только что освободившегося из тюрьмы. несмотря на то, что филипп прикован к инвалидному креслу, дриссу удается привнести в размеренную жизнь аристократа дух приключений."
Джентльмены,"один ушлый американец ещё состуденческих летприторговывал наркотиками, атеперь придумал схему нелегального обогащения сиспользованием поместий обедневшей английской аристократии иочень неплохо наэтом разбогател. другой пронырливый журналист приходит крэю, правой руке американца, ипредлагает тому купить киносценарий, вкотором подробно описаны преступления егобосса приучастии других представителей лондонского криминального мира—партнёра-еврея, китайской диаспоры, чернокожих спортсменов идаже русского олигарха.","один ушлый американец ещё состуденческих летприторговывал наркотиками, атеперь придумал схему нелегального обогащения сиспользованием поместий обедневшей английской аристократии иочень неплохо наэтом разбогател."
Джентльмены,"один ушлый американец ещё состуденческих летприторговывал наркотиками, атеперь придумал схему нелегального обогащения сиспользованием поместий обедневшей английской аристократии иочень неплохо наэтом разбогател. другой пронырливый журналист приходит крэю, правой руке американца, ипредлагает тому купить киносценарий, вкотором подробно описаны преступления егобосса приучастии других представителей лондонского криминального мира—партнёра-еврея, китайской диаспоры, чернокожих спортсменов идаже русского олигарха.","Джентльмены: один ушлый американец ещё состуденческих летприторговывал наркотиками, атеперь придумал схему нелегального обогащения сиспользованием поместий обедневшей английской аристократии иочень неплохо наэтом разбогател. другой пронырливый журналист приходит крэю, правой руке американца, ипредлагает тому купить киносценарий, вкотором подробно описаны преступления егобосса приучастии других представителей лондонского криминального мира—партнёра-еврея, китайской диаспоры, чернокожих спортсменов идаже русского олигарха."
Триггер,"психолог артём стрелецкий — сторонник шоковой терапии в лечении больных. он считает, что единственный способ для человека решить свои проблемы — это понять себя и перестать себе врать. если большинство психологов нянчатся с клиентами, по полгода выслушивают жалобы на жизнь, сочувствуют и получают при этом немалые деньги за цикл сеансов, то артём постоянно провоцирует клиентов: оскорбляет их, смеется над ними, намеренно выталкивает из зоны комфорта. практика артема процветает, пока один из его пациентов не кончает жизнь самоубийством.","психолог артём стрелецкий — сторонник шоковой терапии в лечении больных. он считает, что единственный способ для человека решить свои проблемы — это понять себя и перестать себе врать. если большинство психологов нянчатся с клиентами, по полгода выслушивают жалобы на жизнь, сочувствуют и получают при этом немалые деньги за цикл сеансов, то артём постоянно провоцирует клиентов: оскорбляет их, смеется над ними, намеренно выталкивает из зоны комфорта."
Триггер,"психолог артём стрелецкий — сторонник шоковой терапии в лечении больных. он считает, что единственный способ для человека решить свои проблемы — это понять себя и перестать себе врать. если большинство психологов нянчатся с клиентами, по полгода выслушивают жалобы на жизнь, сочувствуют и получают при этом немалые деньги за цикл сеансов, то артём постоянно провоцирует клиентов: оскорбляет их, смеется над ними, намеренно выталкивает из зоны комфорта. практика артема процветает, пока один из его пациентов не кончает жизнь самоубийством.","Триггер: если большинство психологов нянчатся с клиентами, по полгода выслушивают жалобы на жизнь, сочувствуют и получают при этом немалые деньги за цикл сеансов, то артём постоянно провоцирует клиентов: оскорбляет их, смеется над ними, намеренно выталкивает из зоны комфорта. практика артема процветает, пока один из его пациентов не кончает жизнь самоубийством."
Брат,"демобилизовавшись, данила багров возвращается вродной городок. носкучная жизнь провинции егоне устраивает, ион отправляется впетербург, где, послухам, уженесколько летпроцветает егостарший брат. данила находит брата, новсё оказывается нетак просто—брат работает наемным убийцей.","Брат: демобилизовавшись, данила багров возвращается вродной городок. носкучная жизнь провинции егоне устраивает, ион отправляется впетербург, где, послухам, уженесколько летпроцветает егостарший брат. данила находит брата, новсё оказывается нетак просто—брат работает наемным убийцей."
Гнев человеческий,"грузовики лос-анджелесской инкассаторской компании fortico security часто подвергаются нападениям, иво время очередного ограбления погибают обаохранника. через некоторое время вкомпанию устраивается крепкий немногословный британец патрик хилл. онполучает отбосса прозвище эйчи, впритык кнеобходимому минимуму пройдя тесты пофитнесу, стрельбе ивождению, отправляется напервое задание. вскоре иего грузовик пытаются ограбить вооруженные налётчики, ноэйч водиночку расправляется сцелой бандой истановится героем. кажется, слава иуважение коллег егосовершенно неинтересуют, ведь онпреследует свои цели.","грузовики лос-анджелесской инкассаторской компании fortico security часто подвергаются нападениям, иво время очередного ограбления погибают обаохранника. через некоторое время вкомпанию устраивается крепкий немногословный британец патрик хилл. онполучает отбосса прозвище эйчи, впритык кнеобходимому минимуму пройдя тесты пофитнесу, стрельбе ивождению, отправляется напервое задание."
Гнев человеческий,"грузовики лос-анджелесской инкассаторской компании fortico security часто подвергаются нападениям, иво время очередного ограбления погибают обаохранника. через некоторое время вкомпанию устраивается крепкий немногословный британец патрик хилл. онполучает отбосса прозвище эйчи, впритык кнеобходимому минимуму пройдя тесты пофитнесу, стрельбе ивождению, отправляется напервое задание. вскоре иего грузовик пытаются ограбить вооруженные налётчики, ноэйч водиночку расправляется сцелой бандой истановится героем. кажется, слава иуважение коллег егосовершенно неинтересуют, ведь онпреследует свои цели.","Гнев человеческий: онполучает отбосса прозвище эйчи, впритык кнеобходимому минимуму пройдя тесты пофитнесу, стрельбе ивождению, отправляется напервое задание. вскоре иего грузовик пытаются ограбить вооруженные налётчики, ноэйч водиночку расправляется сцелой бандой истановится героем. кажется, слава иуважение коллег егосовершенно неинтересуют, ведь онпреследует свои цели."
Волк с Уолл-стрит,"1987 год. джордан белфорт становится брокером в успешном инвестиционном банке. вскоре банк закрывается после внезапного обвала индекса доу-джонса. по совету жены терезы джордан устраивается в небольшое заведение, занимающееся мелкими акциями. его настойчивый стиль общения с клиентами и врождённая харизма быстро даёт свои плоды. он знакомится с соседом по дому донни, торговцем, который сразу находит общий язык с джорданом и решает открыть с ним собственную фирму. в качестве сотрудников они нанимают нескольких друзей белфорта, его отца макса и называют компанию «стрэттон оукмонт». в свободное от работы время джордан прожигает жизнь: лавирует от одной вечеринки к другой, вступает в сексуальные отношения с проститутками, употребляет множество наркотических препаратов, в том числе кокаин и кваалюд. однажды наступает момент, когда быстрым обогащением белфорта начинает интересоваться агент фбр...","1987 год. джордан белфорт становится брокером в успешном инвестиционном банке. вскоре банк закрывается после внезапного обвала индекса доу-джонса. по совету жены терезы джордан устраивается в небольшое заведение, занимающееся мелкими акциями. его настойчивый стиль общения с клиентами и врождённая харизма быстро даёт свои плоды. он знакомится с соседом по дому донни, торговцем, который сразу находит общий язык с джорданом и решает открыть с ним собственную фирму."
Волк с Уолл-стрит,"1987 год. джордан белфорт становится брокером в успешном инвестиционном банке. вскоре банк закрывается после внезапного обвала индекса доу-джонса. по совету жены терезы джордан устраивается в небольшое заведение, занимающееся мелкими акциями. его настойчивый стиль общения с клиентами и врождённая харизма быстро даёт свои плоды. он знакомится с соседом по дому донни, торговцем, который сразу находит общий язык с джорданом и решает открыть с ним собственную фирму. в качестве сотрудников они нанимают нескольких друзей белфорта, его отца макса и называют компанию «стрэттон оукмонт». в свободное от работы время джордан прожигает жизнь: лавирует от одной вечеринки к другой, вступает в сексуальные отношения с проститутками, употребляет множество наркотических препаратов, в том числе кокаин и кваалюд. однажды наступает момент, когда быстрым обогащением белфорта начинает интересоваться агент фбр...","он знакомится с соседом по дому донни, торговцем, который сразу находит общий язык с джорданом и решает открыть с ним собственную фирму. в качестве сотрудников они нанимают нескольких друзей белфорта, его отца макса и называют компанию «стрэттон оукмонт». в свободное от работы время джордан прожигает жизнь: лавирует от одной вечеринки к другой, вступает в сексуальные отношения с проститутками, употребляет множество наркотических препаратов, в том числе кокаин и кваалюд."
